code_insee;latitude;longitude
2809;49.163;3.716
2810;49.239;3.096
2812;49.265;3.268
2813;49.771;3.505
2814;49.926;3.682
2815;49.78;3.091
2816;49.172;3.532
2817;49.293;3.638
2818;48.998;3.261
2819;49.714;4.045
2820;49.638;3.248
2821;49.623;3.564
2822;49.305;3.092
2823;49.787;3.792
2824;49.518;3.651
2826;49.839;3.833
2827;49.716;3.738
2828;49.414;3.42
2829;49.431;3.388
2830;50.018;3.599
2831;49.916;4.2
2832;49.883;3.713
2833;49.948;3.997
2834;49.53;3.441
3001;46.096;3.45
3002;46.618;3.149
3003;46.716;2.721
3004;46.25;3.746
3005;46.367;2.41
3006;46.143;3.743
3007;46.227;2.665
3008;46.052;3.575
3009;46.673;3.162
3010;46.461;2.559
3011;46.683;3.305
3012;46.545;3.123
3013;46.598;3.319
3014;46.332;3.967
3015;46.646;3.204
3016;46.22;3.249
3017;46.284;3.698
3018;46.258;3.277
3019;46.587;3.669
3020;46.273;2.891
3021;46.123;3.143
3022;46.206;3.066
3023;46.122;3.397
3024;46.328;3.702
3025;46.451;3.368
3026;46.481;3.255
3027;46.332;2.849
3028;46.21;3.577
3029;46.232;3.44
3030;46.081;3.289
3031;46.402;2.731
3032;46.288;2.963
3033;46.183;3.506
3034;46.32;3.492
3035;46.307;3.907
3036;46.584;3.051
3037;46.659;2.654
3038;46.329;3.217
3039;46.434;3.249
3040;46.528;3.296
3041;46.584;2.715
3042;46.177;3.669
3043;46.196;3.288
3044;46.073;3.366
3045;46.057;3.515
3046;46.47;2.955
3047;46.228;2.779
3048;46.626;2.809
3049;46.299;3.199
3050;46.024;3.752
3051;46.414;2.426
3052;46.328;2.713
3053;46.236;3.16
3054;46.492;3.516
3055;46.428;2.504
3056;46.089;3.588
3057;46.66;3.53
3058;46.383;2.944
3059;46.266;3.23
3060;46.16;3.393
3061;46.083;3.246
3062;46.182;3.164
3063;46.442;3.973
3064;46.782;2.987
3065;46.416;3.298
3066;46.1;3.717
3067;46.397;3.633
3068;46.198;3.725
3069;46.462;3.128
3070;46.422;2.952
3071;46.354;3.597
3072;46.487;2.519
3073;46.478;3.313
3074;46.608;3.564
3075;46.213;3.112
